Cell;Band(MHz);Date;Data_Volume
cell0001;1800;01/01/2023;66900
cell0001;1800;02/01/2023;80100
cell0001;1800;03/01/2023;85700
cell0001;1800;04/01/2023;73400
cell0001;1800;05/01/2023;65500
cell0001;1800;06/01/2023;74000
cell0001;1800;07/01/2023;82400
cell0001;1800;08/01/2023;48500
cell0001;1800;09/01/2023;58400
cell0001;1800;10/01/2023;48100
cell0001;1800;11/01/2023;86500
cell0001;1800;12/01/2023;62000
cell0001;1800;13/01/2023;48600
cell0001;1800;14/01/2023;70400
cell0001;1800;15/01/2023;45000
cell0001;1800;16/01/2023;69100
cell0001;1800;17/01/2023;94900
cell0001;1800;18/01/2023;25000
cell0001;1800;19/01/2023;44000
cell0001;1800;20/01/2023;27500
cell0001;1800;21/01/2023;44400
cell0001;1800;22/01/2023;59200
cell0001;1800;23/01/2023;50000
cell0001;1800;24/01/2023;71300
cell0001;1800;25/01/2023;53500
cell0001;1800;26/01/2023;100000
cell0001;1800;27/01/2023;71100
cell0001;1800;28/01/2023;80900
cell0001;1800;29/01/2023;68600
cell0001;1800;30/01/2023;74300
cell0001;1800;31/01/2023;65800
cell0001;1800;01/02/2023;67500
cell0001;1800;02/02/2023;146300
cell0001;1800;03/02/2023;113800
cell0001;1800;04/02/2023;95800
cell0001;1800;05/02/2023;107800
cell0001;1800;06/02/2023;40000
cell0001;1800;07/02/2023;88500
cell0001;1800;08/02/2023;91200
cell0001;1800;09/02/2023;102800
cell0001;1800;10/02/2023;64000
cell0001;1800;11/02/2023;84700
cell0001;1800;12/02/2023;70100
cell0001;1800;13/02/2023;142500
cell0001;1800;14/02/2023;88400
cell0001;1800;15/02/2023;75500
cell0001;1800;16/02/2023;43300
cell0001;1800;17/02/2023;46700
cell0001;1800;18/02/2023;63700
cell0001;1800;19/02/2023;72700
cell0001;1800;20/02/2023;42500
cell0001;1800;21/02/2023;53400
cell0001;1800;22/02/2023;60800
cell0001;1800;23/02/2023;58600
cell0001;1800;24/02/2023;66400
cell0001;1800;25/02/2023;67500
cell0001;1800;26/02/2023;79200
cell0001;1800;27/02/2023;63100
cell0001;1800;28/02/2023;67700
cell0001;1800;01/03/2023;40000
cell0001;1800;02/03/2023;62200
cell0001;1800;03/03/2023;70700
cell0001;1800;04/03/2023;60300
cell0001;1800;05/03/2023;61200
cell0001;1800;06/03/2023;69400
cell0001;1800;07/03/2023;96000
cell0001;1800;08/03/2023;60600
cell0001;1800;09/03/2023;70800
cell0001;1800;10/03/2023;60400
cell0001;1800;11/03/2023;143000
cell0001;1800;12/03/2023;80800
cell0001;1800;13/03/2023;67500
cell0001;1800;14/03/2023;61000
cell0001;1800;15/03/2023;59600
cell0001;1800;16/03/2023;53600
cell0001;1800;17/03/2023;84300
cell0001;1800;18/03/2023;107200
cell0001;1800;19/03/2023;59400
cell0001;1800;20/03/2023;63900
cell0001;1800;21/03/2023;69400
cell0001;1800;22/03/2023;62500
cell0001;1800;23/03/2023;58300
cell0001;1800;24/03/2023;70800
cell0001;1800;25/03/2023;86200
cell0001;1800;26/03/2023;76200
cell0001;1800;27/03/2023;140300
cell0001;1800;28/03/2023;62300
cell0001;1800;29/03/2023;63500
cell0001;1800;30/03/2023;61100
cell0001;1800;31/03/2023;67500
cell0001;1800;01/04/2023;93800
cell0001;1800;02/04/2023;73600
cell0001;1800;03/04/2023;97200
cell0001;1800;04/04/2023;87500
cell0001;1800;05/04/2023;71700
cell0001;1800;06/04/2023;96300
cell0001;1800;07/04/2023;87500
cell0001;1800;08/04/2023;64400
cell0001;1800;09/04/2023;110100
cell0001;1800;10/04/2023;90800
cell0001;1800;11/04/2023;159900
cell0001;1800;12/04/2023;94400
cell0001;1800;13/04/2023;72500
cell0001;1800;14/04/2023;83200
cell0001;1800;15/04/2023;62000
cell0001;1800;16/04/2023;61200
cell0001;1800;17/04/2023;125000
cell0001;1800;18/04/2023;55200
cell0001;1800;19/04/2023;87500
cell0001;1800;20/04/2023;50000
cell0001;1800;21/04/2023;30000
cell0001;1800;22/04/2023;87500
cell0001;1800;23/04/2023;93800
cell0001;1800;24/04/2023;47500
cell0001;1800;25/04/2023;68900
cell0001;1800;26/04/2023;41000
cell0001;1800;27/04/2023;32500
cell0001;1800;28/04/2023;62800
cell0001;1800;29/04/2023;67500
cell0001;1800;30/04/2023;67500
cell0001;1800;01/05/2023;58800
cell0001;1800;02/05/2023;53800
cell0001;1800;03/05/2023;54400
cell0001;1800;04/05/2023;53800
cell0001;1800;05/05/2023;54300
cell0001;1800;06/05/2023;51300
cell0001;1800;07/05/2023;43900
cell0001;1800;08/05/2023;66400
cell0001;1800;09/05/2023;62800
cell0001;1800;10/05/2023;94500
cell0001;1800;11/05/2023;65600
cell0001;1800;12/05/2023;81300
cell0001;1800;13/05/2023;66900
cell0001;1800;14/05/2023;66800
cell0001;1800;15/05/2023;76100
cell0001;1800;16/05/2023;65600
cell0001;1800;17/05/2023;84700
cell0001;1800;18/05/2023;100000
cell0001;1800;19/05/2023;47800
cell0001;1800;20/05/2023;82600
cell0001;1800;21/05/2023;112500
cell0001;1800;22/05/2023;65400
cell0001;1800;23/05/2023;61400
cell0001;1800;24/05/2023;65900
cell0001;1800;25/05/2023;47500
cell0001;1800;26/05/2023;58600
cell0001;1800;27/05/2023;155000
cell0001;1800;28/05/2023;66700
cell0001;1800;29/05/2023;67500
cell0001;1800;30/05/2023;60600
cell0001;1800;31/05/2023;96300
cell0001;1800;01/06/2023;61800
cell0001;1800;02/06/2023;68200
cell0001;1800;03/06/2023;68900
cell0001;1800;04/06/2023;82200
cell0001;1800;05/06/2023;100000
cell0001;1800;06/06/2023;100900
cell0001;1800;07/06/2023;32900
cell0001;1800;08/06/2023;42500
cell0001;1800;09/06/2023;69400
cell0001;1800;10/06/2023;68500
cell0001;1800;11/06/2023;58800
cell0001;1800;12/06/2023;124700
cell0001;1800;13/06/2023;72100
cell0001;1800;14/06/2023;76900
cell0001;1800;15/06/2023;90000
cell0001;1800;16/06/2023;104100
cell0001;1800;17/06/2023;93400
cell0001;1800;18/06/2023;95000
cell0001;1800;19/06/2023;67500
cell0001;1800;20/06/2023;50000
cell0001;1800;21/06/2023;92900
cell0001;1800;22/06/2023;382400
cell0001;1800;23/06/2023;83700
cell0001;1800;24/06/2023;65800
cell0001;1800;25/06/2023;199300
cell0001;1800;26/06/2023;167400
cell0001;1800;27/06/2023;137500
cell0001;1800;28/06/2023;55400
cell0001;1800;29/06/2023;93400
cell0001;1800;30/06/2023;91800
cell0001;1800;01/07/2023;98000
cell0001;1800;02/07/2023;54200
cell0001;1800;03/07/2023;81000
cell0001;1800;04/07/2023;100000
cell0001;1800;05/07/2023;57400
cell0001;1800;06/07/2023;158500
cell0001;1800;07/07/2023;353100
cell0001;1800;08/07/2023;176400
cell0001;1800;09/07/2023;62300
cell0001;1800;10/07/2023;110700
cell0001;1800;11/07/2023;78500
cell0001;1800;12/07/2023;121300
cell0001;1800;13/07/2023;318100
cell0001;1800;14/07/2023;98700
cell0001;1800;15/07/2023;65000
cell0001;1800;16/07/2023;116300
cell0001;1800;17/07/2023;194500
cell0001;1800;18/07/2023;134500
cell0001;1800;19/07/2023;258100
cell0001;1800;20/07/2023;73300
cell0001;1800;21/07/2023;74400
cell0001;1800;22/07/2023;128000
cell0001;1800;23/07/2023;238800
cell0001;1800;24/07/2023;78000
cell0001;1800;25/07/2023;97800
cell0001;1800;26/07/2023;259200
cell0001;1800;27/07/2023;168800
cell0001;1800;28/07/2023;177800
cell0001;1800;29/07/2023;285000
cell0001;1800;30/07/2023;341700
cell0001;1800;31/07/2023;138300
cell0001;1800;01/08/2023;103100
cell0001;1800;02/08/2023;84000
cell0001;1800;03/08/2023;115100
cell0001;1800;04/08/2023;500001
cell0001;1800;05/08/2023;98100
cell0001;1800;06/08/2023;72400
cell0001;1800;07/08/2023;88400
cell0001;1800;08/08/2023;97500
cell0001;1800;09/08/2023;403300
cell0001;1800;10/08/2023;99100
cell0001;1800;11/08/2023;134600
cell0001;1800;12/08/2023;127100
cell0001;1800;13/08/2023;104200
cell0001;1800;14/08/2023;83000
cell0001;1800;15/08/2023;65300
cell0001;1800;16/08/2023;85200
cell0001;1800;17/08/2023;142500
cell0001;1800;18/08/2023;90900
cell0001;1800;19/08/2023;113600
cell0001;1800;20/08/2023;81000
cell0001;1800;21/08/2023;145200
cell0001;1800;22/08/2023;115300
cell0001;1800;23/08/2023;65900
cell0001;1800;24/08/2023;148900
cell0001;1800;25/08/2023;146400
cell0001;1800;26/08/2023;66600
cell0001;1800;27/08/2023;87500
cell0001;1800;28/08/2023;94800
cell0001;1800;29/08/2023;248100
cell0001;1800;30/08/2023;64700
cell0001;1800;31/08/2023;51300
cell0001;1800;01/09/2023;61100
cell0001;1800;02/09/2023;66000
cell0001;1800;03/09/2023;61000
cell0001;1800;04/09/2023;89600
cell0001;1800;05/09/2023;112500
cell0001;1800;06/09/2023;130400
cell0001;1800;07/09/2023;145200
cell0001;1800;08/09/2023;189900
cell0001;1800;09/09/2023;68200
cell0001;1800;10/09/2023;125200
cell0001;1800;11/09/2023;110900
cell0001;1800;12/09/2023;159000
cell0001;1800;13/09/2023;220500
cell0001;1800;14/09/2023;124100
cell0001;1800;15/09/2023;199400
cell0001;1800;16/09/2023;183900
cell0001;1800;17/09/2023;235600
cell0001;1800;18/09/2023;500001
cell0001;1800;19/09/2023;69600
cell0001;1800;20/09/2023;321900
cell0001;1800;21/09/2023;148200
cell0001;1800;22/09/2023;22500
cell0001;1800;23/09/2023;76600
cell0001;1800;24/09/2023;50000
cell0001;1800;25/09/2023;230200
cell0001;1800;26/09/2023;345500
cell0001;1800;27/09/2023;116500
cell0001;1800;28/09/2023;113500
cell0001;1800;29/09/2023;172900
cell0001;1800;30/09/2023;198100
cell0001;1800;01/10/2023;67400
cell0001;1800;02/10/2023;169100
cell0001;1800;03/10/2023;240600
cell0001;1800;04/10/2023;193800
cell0001;1800;05/10/2023;161100
cell0001;1800;06/10/2023;156300
cell0001;1800;07/10/2023;66300
cell0001;1800;08/10/2023;81700
cell0001;1800;09/10/2023;122900
cell0001;1800;10/10/2023;214300
cell0001;1800;11/10/2023;158200
cell0001;1800;12/10/2023;143400
cell0001;1800;13/10/2023;217400
cell0001;1800;14/10/2023;308600
cell0001;1800;15/10/2023;111400
cell0001;1800;16/10/2023;42500
cell0001;1800;17/10/2023;173400
cell0001;1800;18/10/2023;187200
cell0001;1800;19/10/2023;214500
cell0001;1800;20/10/2023;63000
cell0001;1800;21/10/2023;221000
cell0001;1800;22/10/2023;90000
cell0001;1800;23/10/2023;231800
cell0001;1800;24/10/2023;206100
cell0001;1800;25/10/2023;100000
cell0001;1800;26/10/2023;274600
cell0001;1800;27/10/2023;84700
cell0001;1800;28/10/2023;90800
cell0001;1800;29/10/2023;167800
cell0001;1800;30/10/2023;199200
cell0001;1800;31/10/2023;119300
cell0001;1800;01/11/2023;202100
cell0001;1800;02/11/2023;57400
cell0001;1800;03/11/2023;163100
cell0001;1800;04/11/2023;197600
cell0001;1800;05/11/2023;147800
cell0001;1800;06/11/2023;58000
cell0001;1800;07/11/2023;91100
cell0001;1800;08/11/2023;170700
cell0001;1800;09/11/2023;164500
cell0001;1800;10/11/2023;170200
cell0001;1800;11/11/2023;285400
cell0001;1800;12/11/2023;187200
cell0001;1800;13/11/2023;73400
cell0001;1800;14/11/2023;54600
cell0001;1800;15/11/2023;130800
cell0001;1800;16/11/2023;128100
cell0001;1800;17/11/2023;248900
cell0001;1800;18/11/2023;259900
cell0001;1800;19/11/2023;176000
cell0001;1800;20/11/2023;226500
cell0001;1800;21/11/2023;225000
cell0001;1800;22/11/2023;128600
cell0001;1800;23/11/2023;55000
cell0001;1800;24/11/2023;140000
cell0001;1800;25/11/2023;166700
cell0001;1800;26/11/2023;171500
cell0001;1800;27/11/2023;196600
cell0001;1800;28/11/2023;72600
cell0001;1800;29/11/2023;81000
cell0001;1800;30/11/2023;146300
cell0001;1800;01/12/2023;81700
cell0001;1800;02/12/2023;137500
cell0001;1800;03/12/2023;210900
cell0001;1800;04/12/2023;158300
cell0001;1800;05/12/2023;185300
